,Artist Name,Track,Main Genre,Popularity,Year in Top 50
98,Topic,Breaking Me,dance pop,73,2020
99,A7S,Breaking Me,scandipop,70,2020
100,24kGoldn,Mood (feat. iann dior),cali rap,73,2020
101,iann dior,Mood (feat. iann dior),melodic rap,74,2020
102,Billie Eilish,everything i wanted,art pop,88,2020
103,Shawn Mendes,Señorita,canadian pop,84,2020
104,Camila Cabello,Señorita,dance pop,81,2020
105,Billie Eilish,bad guy,art pop,88,2020
106,Cardi B,WAP (feat. Megan Thee Stallion),dance pop,80,2020
107,Megan Thee Stallion,WAP (feat. Megan Thee Stallion),dance pop,79,2020
108,Surfaces,Sunday Best,bedroom soul,69,2020
109,Eminem,Godzilla (feat. Juice WRLD),detroit hip hop,91,2020
110,Juice WRLD,Godzilla (feat. Juice WRLD),chicago rap,89,2020
111,Justin Bieber,Yummy,canadian pop,90,2020
112,Dua Lipa,Break My Heart,dance pop,87,2020
113,BTS,Dynamite,k-pop,91,2020
114,BENEE,Supalonely (feat. Gus Dapperton),alt z,67,2020
115,Gus Dapperton,Supalonely (feat. Gus Dapperton),bedroom pop,60,2020
116,Surf Mesa,ily (i love you baby) (feat. Emilee),tropical house,62,2020
117,Emilee,ily (i love you baby) (feat. Emilee),social media pop,60,2020
118,Lady Gaga,Rain On Me (with Ariana Grande),art pop,84,2020
119,Ariana Grande,Rain On Me (with Ariana Grande),dance pop,89,2020
120,Travis Scott,HIGHEST IN THE ROOM,rap,88,2020
121,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,87,2020
122,Swae Lee,Sunflower - Spider-Man: Into the Spider-Verse,melodic rap,76,2020
123,Maluma,Hawái,reggaeton,84,2020
124,Regard,Ride It,dance pop,70,2020
125,Travis Scott,goosebumps,rap,88,2020
126,Black Eyed Peas,RITMO (Bad Boys For Life),dance pop,80,2020
127,J Balvin,RITMO (Bad Boys For Life),reggaeton,87,2020
128,Travis Scott,THE SCOTTS,rap,88,2020
129,Kid Cudi,THE SCOTTS,hip hop,81,2020
130,Bad Bunny,Safaera,reggaeton,98,2020
131,Jowell & Randy,Safaera,latin hip hop,69,2020
132,Ñengo Flow,Safaera,latin hip hop,79,2020
133,Billie Eilish,lovely (with Khalid),art pop,88,2020
134,Khalid,lovely (with Khalid),pop,85,2020
135,Juice WRLD,Lucid Dreams,chicago rap,89,2020
136,Ariana Grande,Stuck with U (with Justin Bieber),dance pop,89,2020
137,Justin Bieber,Stuck with U (with Justin Bieber),canadian pop,90,2020
138,JP Saxe,If the World Was Ending (feat. Julia Michaels),alt z,67,2020
139,Julia Michaels,If the World Was Ending (feat. Julia Michaels),alt z,75,2020
140,Dua Lipa,Physical,dance pop,87,2020
141,Travis Scott,SICKO MODE,rap,88,2020
142,Lil Nas X,Old Town Road - Remix,lgbtq+ hip hop,82,2019
143,Billy Ray Cyrus,Old Town Road - Remix,country,63,2019
144,Billie Eilish,bad guy,art pop,88,2019
145,Shawn Mendes,Señorita,canadian pop,84,2019
146,Camila Cabello,Señorita,dance pop,81,2019
147,Ariana Grande,7 rings,dance pop,89,2019
148,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,dfw rap,87,2019
149,Swae Lee,Sunflower - Spider-Man: Into the Spider-Verse,melodic rap,76,2019
150,Lewis Capaldi,Someone You Loved,pop,80,2019
151,Halsey,Without Me,dance pop,82,2019
152,Alec Benjamin,Let Me Down Slowly,alt z,76,2019
153,Lady Gaga,Shallow,art pop,84,2019
154,Bradley Cooper,Shallow,hollywood,69,2019
155,Billie Eilish,lovely (with Khalid),art pop,88,2019
156,Khalid,lovely (with Khalid),pop,85,2019
157,Post Malone,Circles,dfw rap,87,2019
158,Gesaffelstein,Lost in the Fire (feat. The Weeknd),dark clubbing,75,2019
159,The Weeknd,Lost in the Fire (feat. The Weeknd),canadian contemporary r&b,93,2019
160,Taylor Swift,Cruel Summer,pop,100,2019
161,Ariana Grande,"thank u, next",dance pop,89,2019
162,Billie Eilish,when the party's over,art pop,88,2019
163,Lana Del Rey,Doin' Time,art pop,88,2019
164,Travis Scott,SICKO MODE,rap,88,2019
165,Juice WRLD,Robbery,chicago rap,89,2019
166,Selena Gomez,Lose You To Love Me,dance pop,84,2019
167,J. Cole,MIDDLE CHILD,conscious hip hop,85,2019
168,Post Malone,Wow.,dfw rap,87,2019
169,Taylor Swift,Lover,pop,100,2019
